질문,답변
파이썬이란?,파이썬은 다양한 분야에서 사용되는 프로그래밍 언어입니다.
파이썬 설치 방법,python.org에서 설치 파일을 다운로드하여 설치할 수 있습니다.
리스트와 튜플의 차이,리스트는 변경 가능하고 튜플은 변경 불가능합니다.
파이썬에서 함수 정의 방법,def 키워드를 사용하여 함수를 정의합니다.
파이썬 라이브러리가 뭐야,파이썬 라이브러리는 특정 기능을 모아둔 코드 집합입니다.
파이썬 라이브러리 설치 방법,pip install 라이브러리명 명령어로 설치할 수 있습니다.
파이썬에서 변수 선언 방법,변수명 = 값 형태로 선언합니다.
파이썬에서 반복문 사용법,for문과 while문을 사용할 수 있습니다.
파이썬에서 조건문 사용법,if, elif, else를 사용합니다.
파이썬에서 주석 다는 법,# 기호를 사용하여 한 줄 주석을 작성합니다.
파이썬에서 입력 받기,input() 함수를 사용합니다.
파이썬에서 출력하기,print() 함수를 사용합니다.
파이썬에서 파일 읽기,open() 함수로 파일을 열고 read()로 읽습니다.
파이썬에서 파일 쓰기,open() 함수로 파일을 열고 write()로 씁니다.
파이썬에서 예외 처리 방법,try-except 구문을 사용합니다.
파이썬에서 클래스 정의,class 키워드로 클래스를 정의합니다.
파이썬에서 상속,클래스명(부모클래스) 형태로 상속을 구현합니다.
파이썬에서 모듈이란?,모듈은 파이썬 파일(.py)로 기능을 분리한 코드 단위입니다.
파이썬에서 패키지란?,패키지는 여러 모듈을 모아놓은 폴더입니다.
파이썬에서 딕셔너리란?,딕셔너리는 키-값 쌍으로 데이터를 저장하는 자료형입니다.
파이썬에서 set(집합)이란?,set은 중복 없는 값을 저장하는 자료형입니다.
파이썬에서 리스트 정렬 방법,sort() 메서드나 sorted() 함수를 사용합니다.
파이썬에서 문자열 합치기,+ 연산자 또는 join() 메서드를 사용합니다.
파이썬에서 문자열 나누기,split() 메서드를 사용합니다.
파이썬에서 for문 예시,for i in range(5): print(i)와 같이 사용합니다.
파이썬에서 while문 예시,i=0; while i<5: print(i); i+=1 과 같이 사용합니다.
파이썬에서 함수 호출 방법,함수명(인자) 형태로 호출합니다.
파이썬에서 return 의미,함수 실행 결과를 반환할 때 사용합니다.
파이썬에서 import 사용법,import 모듈명 또는 from 모듈 import 함수 형태로 사용합니다.
파이썬에서 pip란?,pip는 파이썬 패키지(라이브러리) 관리 도구입니다.
파이썬에서 가상환경 만드는 법,python -m venv 환경이름 명령어를 사용합니다.
파이썬에서 주피터 노트북이란?,주피터 노트북은 웹 기반의 파이썬 실행 환경입니다.
파이썬에서 인덱싱이란?,리스트 등에서 특정 위치의 값을 가져오는 방법입니다.
파이썬에서 슬라이싱이란?,리스트 등에서 여러 값을 범위로 가져오는 방법입니다.
파이썬에서 map 함수,map(함수, 반복가능객체)로 각 요소에 함수를 적용합니다.
파이썬에서 filter 함수,filter(함수, 반복가능객체)로 조건에 맞는 값만 추출합니다.
파이썬에서 lambda 함수,lambda 인자: 표현식 형태로 익명 함수를 만듭니다.
파이썬에서 enumerate 함수,enumerate(리스트)로 인덱스와 값을 함께 가져옵니다.
파이썬에서 zip 함수,zip(리스트1, 리스트2)로 여러 리스트를 묶어줍니다.
파이썬에서 len 함수,len(리스트)로 요소 개수를 구합니다.
파이썬에서 range 함수,range(시작, 끝, 간격)으로 숫자 범위를 만듭니다.
파이썬에서 max/min 함수,max(리스트), min(리스트)로 최댓값/최솟값을 구합니다.
파이썬에서 sum 함수,sum(리스트)로 합계를 구합니다.
파이썬에서 list comprehension,[x for x in 리스트] 형태로 리스트를 만듭니다.
파이썬에서 None이란?,값이 없음을 나타내는 특수한 객체입니다.
파이썬에서 True/False란?,참/거짓을 나타내는 불리언 값입니다.
파이썬에서 pass란?,아무 동작도 하지 않고 넘어갈 때 사용합니다.
파이썬에서 continue/break,continue는 다음 반복, break는 반복문 종료입니다. 
